HEADER[~&~	~&~EMPLID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PERSON_NM::VARCHAR~&~	~&~SETID_SALARY::VARCHAR~&~	~&~SAL_ADMIN_PLAN::VARCHAR~&~	~&~GRADE::VARCHAR~&~	~&~IU_CLASSIF_LEVEL::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'0000000001'~&~	~&~'1'~&~	~&~'WOODS,DELLA Y'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000002'~&~	~&~'1'~&~	~&~'HOULIHAN,JAY H'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'11'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000003'~&~	~&~'1'~&~	~&~'PAULIN,RAYMOND B'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000004'~&~	~&~'1'~&~	~&~'CHEW,INEZ D'~&~	~&~'IUBLA'~&~	~&~'PAO'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000005'~&~	~&~'1'~&~	~&~'MAJORS,NICHOLAS Y'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000006'~&~	~&~'1'~&~	~&~'NUGENT,DOMINIC O'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FAX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000007'~&~	~&~'1'~&~	~&~'SHORTER,MARLON B'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000008'~&~	~&~'1'~&~	~&~'UNDERWOOD,MARGUERITE H'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000009'~&~	~&~'1'~&~	~&~'EUBANK,HIRAM W'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'16'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000010'~&~	~&~'1'~&~	~&~'BARGER,LLOYD V'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0I'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000011'~&~	~&~'1'~&~	~&~'KAHLER,JUANA C'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000012'~&~	~&~'1'~&~	~&~'BYLER,ELBA B'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'13'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000013'~&~	~&~'1'~&~	~&~'MCAFEE,ALAN E'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000014'~&~	~&~'1'~&~	~&~'WESTFALL,HENRY F'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'13'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000015'~&~	~&~'1'~&~	~&~'SHANKLE,BURT B'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000016'~&~	~&~'1'~&~	~&~'FERLAND,ROBERTA L'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000017'~&~	~&~'1'~&~	~&~'CRABTREE,KENDRICK H'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000018'~&~	~&~'1'~&~	~&~'FELKER,OLIVE P'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000019'~&~	~&~'1'~&~	~&~'MARTIN,AUDREY F'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000020'~&~	~&~'1'~&~	~&~'STERNER,EVERETTE W'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000021'~&~	~&~'1'~&~	~&~'BAYLESS,CORINA H'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'UAS'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000022'~&~	~&~'1'~&~	~&~'KATO,THEODORE M'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FLX'~&~	~&~'TL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000023'~&~	~&~'1'~&~	~&~'HOVIS,CLAUDIA P'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000024'~&~	~&~'1'~&~	~&~'MCINTYRE,RAFAEL N'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'13'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000025'~&~	~&~'1'~&~	~&~'EAGLE,EMORY W'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000026'~&~	~&~'1'~&~	~&~'BLOOD,OPAL V'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'UAS'~&~	~&~'TL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000027'~&~	~&~'1'~&~	~&~'POND,MITZI J'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'19'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000028'~&~	~&~'1'~&~	~&~'FLAHERTY,ANGELICA C'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000029'~&~	~&~'1'~&~	~&~'KOSS,MASON U'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000030'~&~	~&~'1'~&~	~&~'MCEACHERN,ORA U'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0G'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000031'~&~	~&~'1'~&~	~&~'ACUNA,WM T'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000032'~&~	~&~'1'~&~	~&~'SCHULTE,MARITZA D'~&~	~&~'IUBLA'~&~	~&~'PAO'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000033'~&~	~&~'1'~&~	~&~'DEVRIES,OLIVER M'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000034'~&~	~&~'1'~&~	~&~'DEVANEY,DARREN X'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000035'~&~	~&~'1'~&~	~&~'SMOCK,PAULETTE V'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
