HEADER[~&~	~&~ENTITY_EMAIL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~ENT_TYP_CD::VARCHAR~&~	~&~EMAIL_TYP_CD::VARCHAR~&~	~&~EMAIL_ADDR::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1200'~&~	~&~'5B97C50B04066110E0404F8189D85213'~&~	~&~'1'~&~	~&~'1100'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'200811131406550000'~&~	~&~]RECORD
RECORD[~&~	~&~'1231'~&~	~&~'5B97C50B04256110E0404F8189D85213'~&~	~&~'1'~&~	~&~'1131'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'200811131407000000'~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1000'~&~	~&~'KFS1000'~&~	~&~'1'~&~	~&~'KFS1018'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1001'~&~	~&~'KFS1001'~&~	~&~'1'~&~	~&~'KFS2943'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1002'~&~	~&~'KFS1002'~&~	~&~'1'~&~	~&~'KFS3222'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1003'~&~	~&~'KFS1003'~&~	~&~'1'~&~	~&~'KFS3626'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1004'~&~	~&~'KFS1004'~&~	~&~'1'~&~	~&~'KFS3776'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1005'~&~	~&~'KFS1005'~&~	~&~'1'~&~	~&~'KFS3803'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1006'~&~	~&~'KFS1006'~&~	~&~'1'~&~	~&~'KFS3990'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1100'~&~	~&~'KFS1100'~&~	~&~'1'~&~	~&~'KFS2743'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1101'~&~	~&~'KFS1101'~&~	~&~'1'~&~	~&~'KFS2790'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1102'~&~	~&~'KFS1102'~&~	~&~'1'~&~	~&~'KFS2835'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1103'~&~	~&~'KFS1103'~&~	~&~'1'~&~	~&~'KFS2978'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1104'~&~	~&~'KFS1104'~&~	~&~'1'~&~	~&~'KFS3094'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1105'~&~	~&~'KFS1105'~&~	~&~'1'~&~	~&~'KFS4047'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1106'~&~	~&~'KFS1106'~&~	~&~'1'~&~	~&~'KFS4048'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1107'~&~	~&~'KFS1107'~&~	~&~'1'~&~	~&~'KFS4049'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1108'~&~	~&~'KFS1108'~&~	~&~'1'~&~	~&~'KFS4050'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1109'~&~	~&~'KFS1109'~&~	~&~'1'~&~	~&~'KFS4051'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
