HEADER[~&~	~&~ENTITY_NM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~NM_TYP_CD::VARCHAR~&~	~&~FIRST_NM::VARCHAR~&~	~&~MIDDLE_NM::VARCHAR~&~	~&~LAST_NM::VARCHAR~&~	~&~SUFFIX_NM::VARCHAR~&~	~&~PREFIX_NM::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~TITLE_NM::VARCHAR~&~	~&~NOTE_MSG::VARCHAR~&~	~&~NM_CHNG_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'1200'~&~	~&~'5B97C50B042C6110E0404F8189D85213'~&~	~&~'1'~&~	~&~'1100'~&~	~&~'PRFR'~&~	~&~'admin'~&~	~&~NULL~&~	~&~'admin'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'200811131407020000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'1231'~&~	~&~'5B97C50B044B6110E0404F8189D85213'~&~	~&~'1'~&~	~&~'1131'~&~	~&~'PRFR'~&~	~&~'Notification'~&~	~&~NULL~&~	~&~'System'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~'200811131407070000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1000'~&~	~&~'KFS1000'~&~	~&~'1'~&~	~&~'KFS1000'~&~	~&~'PRFR'~&~	~&~'DELLA'~&~	~&~'Y'~&~	~&~'WOODS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1001'~&~	~&~'KFS1001'~&~	~&~'1'~&~	~&~'KFS1001'~&~	~&~'PRFR'~&~	~&~'JAY'~&~	~&~'H'~&~	~&~'HOULIHAN'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1002'~&~	~&~'KFS1002'~&~	~&~'1'~&~	~&~'KFS1002'~&~	~&~'PRFR'~&~	~&~'RAYMOND'~&~	~&~'B'~&~	~&~'PAULIN'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1003'~&~	~&~'KFS1003'~&~	~&~'1'~&~	~&~'KFS1003'~&~	~&~'PRFR'~&~	~&~'INEZ'~&~	~&~'D'~&~	~&~'CHEW'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1004'~&~	~&~'KFS1004'~&~	~&~'1'~&~	~&~'KFS1004'~&~	~&~'PRFR'~&~	~&~'NICHOLAS'~&~	~&~'Y'~&~	~&~'MAJORS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1005'~&~	~&~'KFS1005'~&~	~&~'1'~&~	~&~'KFS1005'~&~	~&~'PRFR'~&~	~&~'DOMINIC'~&~	~&~'O'~&~	~&~'NUGENT'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1006'~&~	~&~'KFS1006'~&~	~&~'1'~&~	~&~'KFS1006'~&~	~&~'PRFR'~&~	~&~'MARLON'~&~	~&~'B'~&~	~&~'SHORTER'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1007'~&~	~&~'KFS1007'~&~	~&~'1'~&~	~&~'KFS1007'~&~	~&~'PRFR'~&~	~&~'MARGUERITE'~&~	~&~'H'~&~	~&~'UNDERWOOD'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1008'~&~	~&~'KFS1008'~&~	~&~'1'~&~	~&~'KFS1008'~&~	~&~'PRFR'~&~	~&~'HIRAM'~&~	~&~'W'~&~	~&~'EUBANK'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1009'~&~	~&~'KFS1009'~&~	~&~'1'~&~	~&~'KFS1009'~&~	~&~'PRFR'~&~	~&~'LLOYD'~&~	~&~'V'~&~	~&~'BARGER'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
