HEADER[~&~	~&~ENTITY_PHONE_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~ENT_TYP_CD::VARCHAR~&~	~&~PHONE_TYP_CD::VARCHAR~&~	~&~PHONE_NBR::VARCHAR~&~	~&~PHONE_EXTN_NBR::VARCHAR~&~	~&~POSTAL_CNTRY_CD::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'10000'~&~	~&~'KFS-TEM-KRIM-PHONE-0001'~&~	~&~'1'~&~	~&~'KFS3776'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10001'~&~	~&~'KFS-TEM-KRIM-PHONE-0154'~&~	~&~'1'~&~	~&~'KFS2876'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10002'~&~	~&~'KFS-TEM-KRIM-PHONE-0155'~&~	~&~'1'~&~	~&~'KFS2937'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10003'~&~	~&~'KFS-TEM-KRIM-PHONE-0156'~&~	~&~'1'~&~	~&~'KFS2829'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10004'~&~	~&~'KFS-TEM-KRIM-PHONE-0157'~&~	~&~'1'~&~	~&~'KFS3714'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10005'~&~	~&~'KFS-TEM-KRIM-PHONE-0158'~&~	~&~'1'~&~	~&~'KFS3239'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10006'~&~	~&~'KFS-TEM-KRIM-PHONE-0159'~&~	~&~'1'~&~	~&~'KFS3132'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10007'~&~	~&~'KFS-TEM-KRIM-PHONE-0160'~&~	~&~'1'~&~	~&~'KFS3102'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10008'~&~	~&~'KFS-TEM-KRIM-PHONE-0161'~&~	~&~'1'~&~	~&~'KFS3913'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10009'~&~	~&~'KFS-TEM-KRIM-PHONE-0162'~&~	~&~'1'~&~	~&~'KFS3388'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10010'~&~	~&~'KFS-TEM-KRIM-PHONE-0163'~&~	~&~'1'~&~	~&~'KFS1315'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
